"index","frequency_coefficients","short_time_energy","average_zero_cross_rate"
"0","-2.9605638931265306e-18","0.0274540763348341","0.06704257396941489"
"1","-2.9605638931265306e-18","0.02282669208943844","0.05696787732712766"
"2","-5.208333333343696e-06","0.028599129989743233","0.06680882230718085"
"3","-2.9605638931265306e-18","0.019022196531295776","0.05524071226728723"
"4","-2.9605638931265306e-18","0.024718215689063072","0.07952231549202128"
"5","-5.208333333343696e-06","0.09889956563711166","0.06662182097739362"
"6","-5.208333333343696e-06","0.02618558332324028","0.05911319813829787"
"7","-5.208333333343696e-06","0.036669690161943436","0.06706075465425532"
"8","-5.208333333343696e-06","0.03703603520989418","0.054510887632978726"
"9","-5.208333333343696e-06","0.03733811154961586","0.07264222490026596"
"10","-2.9605638931265306e-18","0.03131706267595291","0.04842035821143617"
"11","-2.9605638931265306e-18","0.038682375103235245","0.060728681848404256"
"12","-5.208333333343696e-06","0.034786656498909","0.06225066489361702"
"13","-2.9605638931265306e-18","0.024845488369464874","0.06334410322473404"
"14","-2.9605638931265306e-18","0.053326018154621124","0.053243434175531915"
"15","-2.9605638931265306e-18","0.038864247500896454","0.052648666057180854"
"16","-5.208333333343696e-06","0.02040012925863266","0.04908784906914894"
"17","-5.208333333343696e-06","0.03373350948095322","0.07284740691489362"
"18","-5.208333333343696e-06","0.025445202365517616","0.06334670046542554"
"19","-5.208333333343696e-06","0.018513165414333344","0.05767432679521277"
"20","-2.9605638931265306e-18","0.037811167538166046","0.0583729845412234"
"21","-2.9605638931265306e-18","0.034550901502370834","0.054931640625"
"22","-5.208333333343696e-06","0.036278627812862396","0.060484541223404256"
"23","-5.208333333343696e-06","0.05235182121396065","0.06493880900930851"
"24","-2.9605638931265306e-18","0.015625713393092155","0.054651138630319146"
"25","-5.208333333343696e-06","0.021998398005962372","0.05520694813829787"
"26","-5.208333333343696e-06","0.043201517313718796","0.07434861203457446"
"27","-2.9605638931265306e-18","0.03680436313152313","0.06188705119680851"
"28","-5.208333333343696e-06","0.03667816147208214","0.06888661486037234"
"29","-2.9605638931265306e-18","0.025187546387314796","0.05887944647606383"
"30","-5.208333333343696e-06","0.021848708391189575","0.07014627659574468"
"31","-5.208333333343696e-06","0.01985200308263302","0.059144365026595744"
"32","-5.208333333343696e-06","0.023751268163323402","0.06661143201462766"
"33","-5.208333333343696e-06","0.03905779868364334","0.06681401678856383"
"34","-5.208333333343696e-06","0.030798187479376793","0.057809383311170214"
"35","-5.208333333343696e-06","0.01814829185605049","0.0569341131981383"
"36","-5.208333333343696e-06","0.02756059728562832","0.0599105510305851"
"37","-5.208333333343696e-06","0.03715970739722252","0.06998784491356383"
"38","-2.9605638931265306e-18","0.03950643911957741","0.061216963098404256"
"39","-5.208333333343696e-06","0.031567711383104324","0.05199156416223404"
"40","-5.208333333343696e-06","0.033799901604652405","0.07467846160239362"
"41","-5.208333333343696e-06","0.03156156837940216","0.05802235704787234"
"42","-5.208333333343696e-06","0.06273264437913895","0.06377005069813829"
