"index","frequency_coefficients","short_time_energy","average_zero_cross_rate"
"0","-7.55857898714338e-06","526.0601196289062","0.06554612379807692"
"1","-7.55857898714338e-06","983.6629638671875","0.07773061899038461"
"2","-7.55857898714338e-06","867.111572265625","0.08208759014423077"
"3","-7.55857898714338e-06","3282.2421875","0.09484675480769231"
"4","-7.55857898714338e-06","344.3655090332031","0.08921649639423077"
"5","-7.55857898714338e-06","3171.688232421875","0.04005784254807692"
"6","-7.55857898714338e-06","643.06982421875","0.08578350360576924"
"7","-7.55857898714338e-06","207.8803253173828","0.027786959134615385"
"8","-7.55857898714338e-06","1305.6689453125","0.12971379206730768"
"9","-7.55857898714338e-06","97.68799591064453","0.18712064302884615"
"10","-7.55857898714338e-06","774.202880859375","0.12127028245192308"
"11","-7.55857898714338e-06","432.3623046875","0.022832782451923078"
"12","-7.55857898714338e-06","2836.662109375","0.053391676682692304"
"13","-7.55857898714338e-06","57.26638412475586","0.14444861778846155"
"14","-7.55857898714338e-06","269.51898193359375","0.079541015625"
"15","-7.55857898714338e-06","1328.33984375","0.10986703725961539"
"16","-7.55857898714338e-06","769.61865234375","0.10301231971153846"
"17","-7.55857898714338e-06","1006.66552734375","0.23810096153846153"
"18","-7.55857898714338e-06","116.66490936279297","0.08965594951923077"
"19","-7.55857898714338e-06","507.9837646484375","0.05855618990384615"
"20","-7.55857898714338e-06","230.6453399658203","0.07254356971153846"
"21","-7.55857898714338e-06","187.61764526367188","0.029860276442307692"
"22","-7.55857898714338e-06","3459.87109375","0.06810396634615384"
"23","-7.55857898714338e-06","51.55788803100586","0.06974534254807692"
"24","-7.55857898714338e-06","27.716114044189453","0.0642578125"
"25","-7.55857898714338e-06","6386.7607421875","0.06651893028846154"
"26","-7.55857898714338e-06","98.531494140625","0.05146108774038462"
"27","-7.55857898714338e-06","3830.0439453125","0.05491661658653846"
"28","-7.55857898714338e-06","3773.4072265625","0.04165790264423077"
"29","-7.55857898714338e-06","4102.810546875","0.07815880408653846"
"30","-7.55857898714338e-06","751.6984252929688","0.066748046875"
